IP Prefix	Description
176.32.125.250/31	us-east-1-amazon-us-east-1-411
15.230.39.194/31	us-east-2-amazon-us-east-2-412
52.93.178.215/32	us-west-1-amazon-us-west-1-413
54.239.108.0/22	us-east-1-amazon-us-east-1-414
64.252.68.0/24	us-east-1-ec2-us-east-1-2511
150.222.133.0/24	ap-northeast-1-amazon-ap-northeast-1-416
18.229.0.0/16	sa-east-1-ec2-sa-east-1-2512
52.93.50.148/31	us-east-1-amazon-us-east-1-418
52.93.178.182/32	us-west-1-amazon-us-west-1-419
52.94.68.0/24	us-east-1-amazon-us-east-1-420
52.95.192.0/20	ap-northeast-2-amazon-ap-northeast-2-421
54.219.0.0/16	us-west-1-ec2-us-west-1-2513
3.32.0.0/16	us-gov-west-1-ec2-us-gov-west-1-2514
35.182.0.0/15	ca-central-1-ec2-ca-central-1-2515
52.93.122.255/32	us-west-1-amazon-us-west-1-425
52.95.236.0/24	ap-south-2-ec2-ap-south-2-2516
54.230.192.0/21	GLOBAL-globalaccelerator-GLOBAL-3090
99.77.191.0/24	us-east-1-ec2-us-east-1-2517
3.5.72.0/23	eu-west-1-ec2-eu-west-1-2518
13.34.26.0/27	us-west-2-amazon-us-west-2-430
13.250.0.0/15	ap-southeast-1-ec2-ap-southeast-1-2519
15.230.39.104/31	us-east-2-amazon-us-east-2-432
44.192.0.0/11	us-east-1-ec2-us-east-1-2520
52.93.127.99/32	cn-northwest-1-amazon-cn-northwest-1-434
52.95.166.0/23	us-gov-east-1-s3-us-gov-east-1-2261
52.144.216.2/31	eu-north-1-amazon-eu-north-1-436
150.222.208.66/31	af-south-1-amazon-af-south-1-437
13.34.26.64/27	us-west-2-amazon-us-west-2-438
15.230.39.136/31	us-east-2-amazon-us-east-2-439
15.230.39.226/31	us-east-2-amazon-us-east-2-440
52.144.215.0/31	eu-west-1-amazon-eu-west-1-441
52.144.215.196/31	eu-north-1-amazon-eu-north-1-442
54.240.236.78/32	eu-south-1-amazon-eu-south-1-443
64.252.102.0/24	ap-southeast-1-ec2-ap-southeast-1-2521
64.252.108.0/24	ap-southeast-2-ec2-ap-southeast-2-2522
69.107.6.200/29	ap-northeast-3-amazon-ap-northeast-3-446
87.238.80.0/21	eu-west-1-amazon-eu-west-1-447
99.77.156.0/24	eu-west-2-ec2-eu-west-2-2523
52.93.50.129/32	us-east-1-amazon-us-east-1-449
52.93.178.147/32	us-west-1-amazon-us-west-1-450
52.95.169.0/24	eu-north-1-s3-eu-north-1-2262
54.222.0.0/19	cn-north-1-amazon-cn-north-1-452
54.239.0.112/28	ap-southeast-2-amazon-ap-southeast-2-453
54.239.8.0/21	us-east-1-amazon-us-east-1-454
54.240.204.0/22	ap-southeast-2-amazon-ap-southeast-2-455
99.86.0.0/16	GLOBAL-cloudfront-GLOBAL-3022
